"","Phi","p","pent","N","model","npar","AICc","DeltaAICc","weight","Deviance"
"40","~period","~habitat + period","~habitat * period","~habitat","Phi(~period)p(~habitat + period)pent(~habitat * period)N(~habitat)",15,9566.52549889395,59.409128073281,1.13122219221421e-13,-9068.1189
"30","~habitat + period","~period","~habitat + period","~habitat","Phi(~habitat + period)p(~period)pent(~habitat + period)N(~habitat)",13,9568.52230743551,61.4059366148413,4.16817986151917e-14,-9062.097
"36","~period","~habitat","~habitat * period","~habitat","Phi(~period)p(~habitat)pent(~habitat * period)N(~habitat)",13,9569.93790743551,62.8215366148415,2.05377478091508e-14,-9060.6813
"22","~habitat + period","~habitat + period","~habitat + period","~habitat","Phi(~habitat + period)p(~habitat + period)pent(~habitat + period)N(~habitat)",14,9570.30316678231,63.1867959616393,1.71095173023393e-14,-9062.3282
"18","~habitat + period","~habitat","~habitat + period","~habitat","Phi(~habitat + period)p(~habitat)pent(~habitat + period)N(~habitat)",12,9574.65772028608,67.5413494654167,1.93936019867176e-15,-9053.9502
"14","~habitat + period","~period","~habitat","~habitat","Phi(~habitat + period)p(~period)pent(~habitat)N(~habitat)",11,9578.80500476706,71.6886339463945,0,-9047.7925
"6","~habitat + period","~habitat + period","~habitat","~habitat","Phi(~habitat + period)p(~habitat + period)pent(~habitat)N(~habitat)",12,9580.68422028608,73.5678494654167,0,-9047.9237
"62","~habitat + period","~period","~period","~habitat","Phi(~habitat + period)p(~period)pent(~period)N(~habitat)",12,9581.29132028609,74.1749494654177,0,-9047.3167
"2","~habitat + period","~habitat","~habitat","~habitat","Phi(~habitat + period)p(~habitat)pent(~habitat)N(~habitat)",10,9581.68576031196,74.5693894912911,0,-9042.9022
"54","~habitat + period","~habitat + period","~period","~habitat","Phi(~habitat + period)p(~habitat + period)pent(~period)N(~habitat)",13,9582.56820743551,75.4518366148404,0,-9048.051
"50","~habitat + period","~habitat","~period","~habitat","Phi(~habitat + period)p(~habitat)pent(~period)N(~habitat)",11,9587.37550476706,80.2591339463961,0,-9039.2221
"32","~period","~period","~habitat + period","~habitat","Phi(~period)p(~period)pent(~habitat + period)N(~habitat)",12,9587.88502028608,80.7686494654172,0,-9040.723
"24","~period","~habitat + period","~habitat + period","~habitat","Phi(~period)p(~habitat + period)pent(~habitat + period)N(~habitat)",13,9589.52540743551,82.4090366148412,0,-9041.0938
"20","~period","~habitat","~habitat + period","~habitat","Phi(~period)p(~habitat)pent(~habitat + period)N(~habitat)",11,9592.77060476706,85.6542339463958,0,-9033.8269
"16","~period","~period","~habitat","~habitat","Phi(~period)p(~period)pent(~habitat)N(~habitat)",10,9598.74416031196,91.627789491291,0,-9025.8438
"8","~period","~habitat + period","~habitat","~habitat","Phi(~period)p(~habitat + period)pent(~habitat)N(~habitat)",11,9600.18800476706,93.0716339463961,0,-9026.4096
"4","~period","~habitat","~habitat","~habitat","Phi(~period)p(~habitat)pent(~habitat)N(~habitat)",9,9600.26268635478,93.146315534108,0,-9022.3166
"64","~period","~period","~period","~habitat","Phi(~period)p(~period)pent(~period)N(~habitat)",11,9602.18280476706,95.0664339463947,0,-9024.4148
"56","~period","~habitat + period","~period","~habitat","Phi(~period)p(~habitat + period)pent(~period)N(~habitat)",12,9604.13882028609,97.0224494654176,0,-9024.4691
"52","~period","~habitat","~period","~habitat","Phi(~period)p(~habitat)pent(~period)N(~habitat)",10,9607.56356031196,100.447189491291,0,-9017.0244
"41","~habitat","~habitat * period","~habitat * period","~habitat","Phi(~habitat)p(~habitat * period)pent(~habitat * period)N(~habitat)",16,9608.3778043384,101.261433517728,0,-9028.2805
"25","~habitat","~habitat * period","~habitat + period","~habitat","Phi(~habitat)p(~habitat * period)pent(~habitat + period)N(~habitat)",14,9611.26116678231,104.144795961638,0,-9021.3702
"9","~habitat","~habitat * period","~habitat","~habitat","Phi(~habitat)p(~habitat * period)pent(~habitat)N(~habitat)",12,9619.99002028608,112.873649465417,0,-9008.6179
"57","~habitat","~habitat * period","~period","~habitat","Phi(~habitat)p(~habitat * period)pent(~period)N(~habitat)",13,9620.09060743551,112.97423661484,0,-9010.5286
"45","~habitat","~period","~habitat * period","~habitat","Phi(~habitat)p(~period)pent(~habitat * period)N(~habitat)",13,9640.66010743551,133.543736614842,0,-8989.9592
"37","~habitat","~habitat + period","~habitat * period","~habitat","Phi(~habitat)p(~habitat + period)pent(~habitat * period)N(~habitat)",14,9642.65046678231,135.534095961639,0,-8989.9809
"33","~habitat","~habitat","~habitat * period","~habitat","Phi(~habitat)p(~habitat)pent(~habitat * period)N(~habitat)",12,9642.73512028608,135.618749465417,0,-8985.8729
"29","~habitat","~period","~habitat + period","~habitat","Phi(~habitat)p(~period)pent(~habitat + period)N(~habitat)",11,9664.77390476706,157.657533946396,0,-8961.8236
"21","~habitat","~habitat + period","~habitat + period","~habitat","Phi(~habitat)p(~habitat + period)pent(~habitat + period)N(~habitat)",12,9666.74922028608,159.632849465417,0,-8961.8588
"17","~habitat","~habitat","~habitat + period","~habitat","Phi(~habitat)p(~habitat)pent(~habitat + period)N(~habitat)",10,9666.95966031196,159.843289491291,0,-8957.6283
"13","~habitat","~period","~habitat","~habitat","Phi(~habitat)p(~period)pent(~habitat)N(~habitat)",9,9676.61198635478,169.495615534108,0,-8945.9673
"61","~habitat","~period","~period","~habitat","Phi(~habitat)p(~period)pent(~period)N(~habitat)",10,9678.09286031196,170.976489491291,0,-8946.4951
"1","~habitat","~habitat","~habitat","~habitat","Phi(~habitat)p(~habitat)pent(~habitat)N(~habitat)",8,9678.12328233001,171.006911509345,0,-8942.4482
"5","~habitat","~habitat + period","~habitat","~habitat","Phi(~habitat)p(~habitat + period)pent(~habitat)N(~habitat)",10,9678.50036031196,171.383989491291,0,-8946.0876
"53","~habitat","~habitat + period","~period","~habitat","Phi(~habitat)p(~habitat + period)pent(~period)N(~habitat)",11,9680.07850476706,172.962133946396,0,-8946.519
"49","~habitat","~habitat","~period","~habitat","Phi(~habitat)p(~habitat)pent(~period)N(~habitat)",9,9680.27538635478,173.159015534107,0,-8942.304
