"size","community","prob","SE","df","asymp.LCL","asymp.UCL"
"1","I",0.774472413042816,0.0834795876764135,Inf,0.573706919869498,0.897567797907403
"2","I",0.684902912624493,0.0653623529963021,Inf,0.545569373356693,0.797381425637077
"3","I",0.606934219399261,0.0876421452134304,Inf,0.429083213639716,0.760328158659227
"1","C",0.626738131195052,0.0938010149896256,Inf,0.433488822985171,0.786528886873784
"2","C",0.61164992846564,0.0686782517996306,Inf,0.471921785789236,0.735155074910636
"3","C",0.31857336672873,0.0747053603133884,Inf,0.192348903673441,0.478550083746685
