"","Phi","p","pent","N","model","npar","AICc","DeltaAICc","weight","Deviance"
"21","~habitat","~habitat + period","~habitat + period","~habitat","Phi(~habitat)p(~habitat + period)pent(~habitat + period)N(~habitat)",12,10514.2095141956,127.097496430088,0,-12353.428
"24","~period","~habitat + period","~habitat + period","~habitat","Phi(~period)p(~habitat + period)pent(~habitat + period)N(~habitat)",13,10514.6027807139,127.490762948368,0,-12355.045
"51","~habitat * period","~habitat","~period","~habitat","Phi(~habitat * period)p(~habitat)pent(~period)N(~habitat)",13,10520.3077807139,133.195762948368,0,-12349.339
"19","~habitat * period","~habitat","~habitat + period","~habitat","Phi(~habitat * period)p(~habitat)pent(~habitat + period)N(~habitat)",14,10522.3068402367,135.19482247119,0,-12349.351
"11","~habitat * period","~habitat * period","~habitat","~habitat","Phi(~habitat * period)p(~habitat * period)pent(~habitat)N(~habitat)",16,10541.3653401736,154.253322408144,0,-12334.317
"10","~habitat + period","~habitat * period","~habitat","~habitat","Phi(~habitat + period)p(~habitat * period)pent(~habitat)N(~habitat)",14,10552.5618402367,165.44982247119,0,-12319.096
"9","~habitat","~habitat * period","~habitat","~habitat","Phi(~habitat)p(~habitat * period)pent(~habitat)N(~habitat)",12,10561.3515141956,174.239496430089,0,-12306.286
"12","~period","~habitat * period","~habitat","~habitat","Phi(~period)p(~habitat * period)pent(~habitat)N(~habitat)",13,10567.5597807139,180.447762948366,0,-12302.087
"50","~habitat + period","~habitat","~period","~habitat","Phi(~habitat + period)p(~habitat)pent(~period)N(~habitat)",11,10568.7510402129,181.639022447396,0,-12296.876
"18","~habitat + period","~habitat","~habitat + period","~habitat","Phi(~habitat + period)p(~habitat)pent(~habitat + period)N(~habitat)",12,10570.6525141956,183.540496430089,0,-12296.985
"52","~period","~habitat","~period","~habitat","Phi(~period)p(~habitat)pent(~period)N(~habitat)",10,10576.8003582972,189.688340531706,0,-12286.818
"20","~period","~habitat","~habitat + period","~habitat","Phi(~period)p(~habitat)pent(~habitat + period)N(~habitat)",11,10578.8090402129,191.697022447395,0,-12286.818
"63","~habitat * period","~period","~period","~habitat","Phi(~habitat * period)p(~period)pent(~period)N(~habitat)",14,10581.9398402367,194.82782247119,0,-12289.719
"31","~habitat * period","~period","~habitat + period","~habitat","Phi(~habitat * period)p(~period)pent(~habitat + period)N(~habitat)",15,10582.9206932334,195.808675467882,0,-12290.75
"7","~habitat * period","~habitat + period","~habitat","~habitat","Phi(~habitat * period)p(~habitat + period)pent(~habitat)N(~habitat)",14,10585.7298402367,198.617822471191,0,-12285.928
"49","~habitat","~habitat","~period","~habitat","Phi(~habitat)p(~habitat)pent(~period)N(~habitat)",9,10613.0884679803,225.976450214799,0,-12248.522
"17","~habitat","~habitat","~habitat + period","~habitat","Phi(~habitat)p(~habitat)pent(~habitat + period)N(~habitat)",10,10614.9383582972,227.826340531707,0,-12248.681
"64","~period","~period","~period","~habitat","Phi(~period)p(~period)pent(~period)N(~habitat)",11,10632.4230402129,245.311022447395,0,-12233.205
"32","~period","~period","~habitat + period","~habitat","Phi(~period)p(~period)pent(~habitat + period)N(~habitat)",12,10633.8615141956,246.749496430088,0,-12233.775
"62","~habitat + period","~period","~period","~habitat","Phi(~habitat + period)p(~period)pent(~period)N(~habitat)",12,10633.8845141956,246.772496430089,0,-12233.753
"30","~habitat + period","~period","~habitat + period","~habitat","Phi(~habitat + period)p(~period)pent(~habitat + period)N(~habitat)",13,10635.3897807139,248.277762948366,0,-12234.258
"6","~habitat + period","~habitat + period","~habitat","~habitat","Phi(~habitat + period)p(~habitat + period)pent(~habitat)N(~habitat)",12,10643.5045141956,256.392496430088,0,-12224.132
"5","~habitat","~habitat + period","~habitat","~habitat","Phi(~habitat)p(~habitat + period)pent(~habitat)N(~habitat)",10,10655.5233582972,268.411340531706,0,-12208.096
"61","~habitat","~period","~period","~habitat","Phi(~habitat)p(~period)pent(~period)N(~habitat)",10,10655.5243582972,268.412340531706,0,-12208.095
"29","~habitat","~period","~habitat + period","~habitat","Phi(~habitat)p(~period)pent(~habitat + period)N(~habitat)",11,10657.0660402129,269.954022447395,0,-12208.562
"8","~period","~habitat + period","~habitat","~habitat","Phi(~period)p(~habitat + period)pent(~habitat)N(~habitat)",11,10657.8080402129,270.696022447395,0,-12207.82
"15","~habitat * period","~period","~habitat","~habitat","Phi(~habitat * period)p(~period)pent(~habitat)N(~habitat)",13,10756.7017807139,369.589762948366,0,-12112.945
"3","~habitat * period","~habitat","~habitat","~habitat","Phi(~habitat * period)p(~habitat)pent(~habitat)N(~habitat)",12,10792.4145141956,405.302496430088,0,-12075.223
"16","~period","~period","~habitat","~habitat","Phi(~period)p(~period)pent(~habitat)N(~habitat)",10,10827.4743582972,440.362340531707,0,-12036.145
"14","~habitat + period","~period","~habitat","~habitat","Phi(~habitat + period)p(~period)pent(~habitat)N(~habitat)",11,10829.4640402129,442.352022447396,0,-12036.163
"13","~habitat","~period","~habitat","~habitat","Phi(~habitat)p(~period)pent(~habitat)N(~habitat)",9,10852.6314679803,465.519450214799,0,-12008.98
"2","~habitat + period","~habitat","~habitat","~habitat","Phi(~habitat + period)p(~habitat)pent(~habitat)N(~habitat)",10,10867.8063582972,480.694340531707,0,-11995.812
"4","~period","~habitat","~habitat","~habitat","Phi(~period)p(~habitat)pent(~habitat)N(~habitat)",9,10875.6674679803,488.555450214799,0,-11985.944
"1","~habitat","~habitat","~habitat","~habitat","Phi(~habitat)p(~habitat)pent(~habitat)N(~habitat)",8,10956.2303687943,569.11835102883,0,-11903.373
