"","Phi","p","pent","N","model","npar","AICc","DeltaAICc","weight","Deviance"
"8","~period","~period","~period","~1","Phi(~period)p(~period)pent(~period)N(~1)",10,28641.8632721372,0,1,-66745.886
"6","~period","~1","~period","~1","Phi(~period)p(~1)pent(~period)N(~1)",8,28728.9450685237,87.0817963865193,0,-66654.801
"7","~1","~period","~period","~1","Phi(~1)p(~period)pent(~period)N(~1)",8,28933.1080685237,291.24479638652,0,-66450.639
"5","~1","~1","~period","~1","Phi(~1)p(~1)pent(~period)N(~1)",6,29039.9475396738,398.084267536618,0,-66339.796
"4","~period","~period","~1","~1","Phi(~period)p(~period)pent(~1)N(~1)",8,29098.0480685237,456.184796386522,0,-66285.698
"2","~period","~1","~1","~1","Phi(~period)p(~1)pent(~1)N(~1)",6,29160.6405396738,518.777267536618,0,-66219.103
"3","~1","~period","~1","~1","Phi(~1)p(~period)pent(~1)N(~1)",6,29408.1925396738,766.329267536617,0,-65971.551
"1","~1","~1","~1","~1","Phi(~1)p(~1)pent(~1)N(~1)",4,29459.8246854169,817.961413279703,0,-65915.917
