"","Phi","p","pent","N","model","npar","AICc","DeltaAICc","weight","Deviance"
"8","~period","~period","~period","~1","Phi(~period)p(~period)pent(~period)N(~1)",10,13789.8859872808,0,0.793810018361519,-29050.675
"7","~1","~period","~period","~1","Phi(~1)p(~period)pent(~period)N(~1)",8,13792.5820802071,2.69609292628229,0.206189922491001,-29043.973
"5","~1","~1","~period","~1","Phi(~1)p(~1)pent(~period)N(~1)",6,13822.7106287349,32.8246414540808,5.91474803542604e-08,-29009.838
"6","~period","~1","~period","~1","Phi(~period)p(~1)pent(~period)N(~1)",8,14179.0020802071,389.116092926282,0,-28657.552
"4","~period","~period","~1","~1","Phi(~period)p(~period)pent(~1)N(~1)",8,14357.1130802071,567.227092926283,0,-28479.442
"3","~1","~period","~1","~1","Phi(~1)p(~period)pent(~1)N(~1)",6,14361.4296287349,571.543641454082,0,-28471.119
"2","~period","~1","~1","~1","Phi(~period)p(~1)pent(~1)N(~1)",6,14373.9906287349,584.104641454082,0,-28458.559
"1","~1","~1","~1","~1","Phi(~1)p(~1)pent(~1)N(~1)",4,14722.5076320712,932.621644790368,0,-28106.037
